open,high,low,close,volume
71.73,72.28,70.82,70.99,25691000
70.72,71.04,69.46,69.88,31190700
69.41,70.88,68.45,70.25,37169700
70.6,71.02,68.66,68.67,33355000
67.01,69.09,67.0,68.78,37913600
69.33,70.03,67.98,69.99,31616400
69.85,70.74,69.6,69.66,28184200
69.81,70.25,68.2,68.3,20270200
68.18,68.42,66.71,66.85,34213900
66.6,67.46,65.97,67.23,30565800
68.12,70.06,68.04,69.9,19013500
69.67,70.18,68.67,69.03,19118600
68.79,69.22,66.88,67.29,28620400
67.57,67.62,64.79,64.84,50522500
64.59,65.71,63.58,65.37,59476500
65.69,66.09,64.42,64.65,39018600
64.5,65.04,61.87,65.0,77317200
64.14,65.03,63.26,63.74,53282400
65.08,65.67,63.17,63.87,48880600
63.84,64.12,61.77,61.8,32656700
61.07,61.63,59.34,59.63,77572600
59.2,60.47,57.33,57.86,78134000
58.11,58.59,56.14,56.28,74484100
55.0,59.92,54.68,59.63,107022800
59.32,60.43,57.44,59.13,87176600
59.58,60.49,58.99,60.25,41206800
61.59,63.59,61.45,63.19,53492900
62.87,64.34,62.45,64.01,47532200
63.7,64.44,62.82,64.17,44669900
63.97,64.3,62.18,62.49,66571900
62.29,62.58,60.27,61.09,51772900
60.88,61.19,58.81,58.97,47191300
59.99,61.87,59.91,60.95,64730000
61.85,62.29,60.37,62.01,43289400
62.24,64.12,61.8,64.02,48339800
63.42,64.72,62.89,64.26,41879200
63.34,64.24,63.03,63.79,25841700
63.46,64.52,62.4,62.63,49690500
62.66,65.2,61.96,64.91,57423600
65.35,66.16,64.9,65.81,45551500
65.34,66.22,64.76,65.62,36517300
65.79,67.4,65.53,67.15,33669900
66.74,67.15,65.9,66.44,30508300
66.91,67.42,65.86,67.4,39628900
67.21,68.38,66.92,68.05,38399800
67.58,67.68,66.27,66.59,33716400
66.81,67.32,65.81,67.05,33830100
67.36,67.75,65.81,66.28,35335700
65.66,65.81,64.62,64.83,38970600
64.24,65.5,63.92,64.86,42965700
64.53,65.74,64.34,64.6,30366700
63.86,64.05,62.05,62.14,76586400
62.37,63.53,61.99,63.03,51099500
62.29,62.95,61.59,62.49,67250900
63.17,63.75,62.89,63.35,38622200
62.72,64.3,62.51,63.82,33998400
64.15,64.6,63.74,64.55,41416600
65.09,65.69,64.12,64.15,27711200
63.88,63.94,62.64,62.96,43601700
62.43,63.28,62.12,63.12,41131000
62.86,63.27,62.27,63.27,28167600
63.98,64.19,61.77,61.82,47609700
61.25,62.29,60.73,61.2,54719400
60.53,61.1,59.62,59.62,48510500
60.04,60.24,59.43,59.64,46325600
59.14,59.43,58.47,59.15,46893800
58.29,59.14,57.87,58.2,69507000
58.95,59.94,58.01,59.64,59294400
60.11,60.79,59.71,60.62,53638000
60.1,60.54,58.51,58.51,64648300
57.98,58.54,57.2,57.83,73096400
58.28,60.64,57.6,60.61,67198100
59.88,60.47,58.4,58.79,56749100
58.78,59.82,57.94,58.2,55547000
58.54,58.63,56.27,57.13,68483700
56.61,57.41,55.54,55.95,53188000
56.43,57.49,55.29,56.83,79531000
55.92,56.35,54.99,55.22,79956400
55.11,57.32,54.49,57.01,76749000
